Logged,dhost,src,peerHost,ruleName,act,app,deviceDirection,deviceMacAddress,hostName,potentialRisk,dst,remarks
2023-09-21 16:26:26,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:25:30,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:24:48,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,lookerstudio.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: lookerstudio.google.com""]"
2023-09-21 16:24:48,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,lookerstudio.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: lookerstudio.google.com""]"
2023-09-21 16:24:26,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:23:29,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:23:19,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,feelinsonice.l.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: feelinsonice.l.google.com""]"
2023-09-21 16:23:19,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,feelinsonice.l.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: feelinsonice.l.google.com""]"
2023-09-21 16:23:10,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,google.northgate-is.com,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: google.northgate-is.com""]"
2023-09-21 16:23:10,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,google.cbu.local,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: google.cbu.local""]"
2023-09-21 16:23:10,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,google.northgate-is.com,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: google.northgate-is.com""]"
2023-09-21 16:23:10,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,google.cbu.local,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: google.cbu.local""]"
