"source","dst","fill","stroke","shape","dst2","dst3","dst4","dst5"
"1","10","#dae8fc","#6c8ebf","ellipse","","","",""
"1","11","#dae8fc","#6c8ebf","ellipse","","","",""
"2","20","#dae8fc","#6c8ebf","ellipse","","","",""
"5","50","#dae8fc","#6c8ebf","ellipse","","","",""
"10","","#dae8fc","#6c8ebf","ellipse","100","","",""
"10","","#dae8fc","#6c8ebf","ellipse","101","","",""
"100","","#dae8fc","#6c8ebf","ellipse","","1000","",""
"100","","#dae8fc","#6c8ebf","ellipse","","1001","",""
"1001","","#dae8fc","#6c8ebf","ellipse","","","2000",""
"2000","","#dae8fc","#6c8ebf","ellipse","","","","2200"
"5","100","#dae8fc","#6c8ebf","ellipse","","","",""
