Logged,dhost,remarks,src,peerHost,ruleName,dst,app,deviceDirection,hostName
19/09/2023 09:00,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
19/09/2023 09:00,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,45.76.69.64.vultrusercontent.com
19/09/2023 09:00,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,45.76.69.64.vultrusercontent.com
19/09/2023 09:00,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
19/09/2023 09:00,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
19/09/2023 09:00,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
19/09/2023 09:00,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
19/09/2023 09:00,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
19/09/2023 09:00,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
18/09/2023 15:51,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,45.76.69.64.vultrusercontent.com
18/09/2023 15:51,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
18/09/2023 15:51,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
18/09/2023 15:51,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
18/09/2023 15:51,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
18/09/2023 15:51,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,45.76.69.64.vultrusercontent.com
18/09/2023 15:51,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
18/09/2023 15:51,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
18/09/2023 15:51,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
17/09/2023 11:00,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.220.220""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
17/09/2023 11:00,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
17/09/2023 11:00,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
17/09/2023 11:00,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.220.220""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,45.76.69.64.vultrusercontent.com
17/09/2023 11:00,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.220.220""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
17/09/2023 11:00,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.220.220""]",dns.opendns.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,45.76.69.64.vultrusercontent.com
17/09/2023 11:00,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
17/09/2023 11:00,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
