Logged,hostName,clientIp,clientPort,dhost,remarks,src,peerHost,ruleName,shost,dst,dOSName,clientFlag,act,app,serverMAC,deviceDirection
28/09/2023 11:31,95.179.138.110.vultrusercontent.com,10.102.82.213,17631,,,,,,,,,,,DNS,00-50-56-86-4a-f9,
28/09/2023 11:31,95.179.138.110.vultrusercontent.com,10.102.82.213,17631,,,,,,,,,,,DNS,00-50-56-86-4a-f9,
28/09/2023 11:31,vultrusercontent.com,10.9.8.7,19366,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
28/09/2023 11:31,vultrusercontent.com,10.9.8.7,19366,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
28/09/2023 11:31,95.179.138.110.vultrusercontent.com,10.9.8.7,22179,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
28/09/2023 11:31,95.179.138.110.vultrusercontent.com,10.9.8.7,22179,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
28/09/2023 11:31,vultrusercontent.com,,,,,,,,,,,,,,,
28/09/2023 11:31,95.179.138.110.vultrusercontent.com,,,,,,,,,,,,,,,
28/09/2023 11:31,northgateps.com,,,95.179.138.110.vultrusercontent.com,"[""Domain: northgateps.com""]","[""152.114.57.24""]",152.114.57.24,Host DNS Mx record query of a non-trusted domain,152.114.57.24,"[""95.179.138.110""]",,dst,"[""not blocked""]",DNS Response,,inbound
28/09/2023 11:31,95.179.138.110.vultrusercontent.com,,,152.114.57.124,"[""Domain: 95.179.138.110.vultrusercontent.com""]","[""208.67.220.220""]",resolver2.opendns.com,DNS response resolves to dead IP address,resolver2.opendns.com,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
28/09/2023 11:31,95.179.138.110.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 95.179.138.110.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
28/09/2023 11:31,vultrusercontent.com,,,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.220.220""]",resolver2.opendns.com,DNS response resolves to dead IP address,resolver2.opendns.com,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
28/09/2023 11:31,95.179.138.110.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""Domain: 95.179.138.110.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
