"objectUser","parentFilePath","processFilePath","objectFilePath","fill","stroke","shape","label","image","signed"
"ratakonda.dheeraja","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,C:\Windows\explorer.exe,C:\Windows\System32\services.exe,C:\Windows\System32\svchost.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-48SM3.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-P6TJ0.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-TGAOK.tmp\safari_NAIrY-1.tmp","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-48SM3.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-P6TJ0.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-TGAOK.tmp\safari_NAIrY-1.tmp,C:\Windows\SysWOW64\PGPhk.dll","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp","","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-I22M4.tmp\file_NAIrY-1.exe,C:\Windows\SysWOW64\PGPlsp.dll","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Windows\System32\svchost.exe","","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Windows\System32\services.exe","","C:\Windows\System32\svchost.exe","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows Publisher""]"
"C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-P6TJ0.tmp\safari_NAIrY-1.tmp","","","C:\Windows\SysWOW64\PGPhk.dll","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Windows\explorer.exe","","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-48SM3.tmp\safari_NAIrY-1.tmp","","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-QI3H0.tmp\file_NAIrY-1.exe,C:\Windows\SysWOW64\PGPlsp.dll","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-TGAOK.tmp\safari_NAIrY-1.tmp","","","C:\Windows\SysWOW64\PGPhk.dll","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
