Logged,dvchost,processCmd,fileName,eventName,act,endpointHostName,objectUser
2023-09-11 09:36:45,ibcxap.manage.trendmicro.com,C:\Windows\system32\svchost.exe -k DcomLaunch -p,"[""GameBarFTServer.exe""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-93054,NT AUTHORITY\SYSTEM
2023-09-11 09:36:44,ibcxap.manage.trendmicro.com,"""C:\Program Files (x86)\Microsoft Intune Management Extension\Microsoft.Management.Services.IntuneWindowsAgent.exe""","[""System.Net.Http.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-800155,NT AUTHORITY\SYSTEM
2023-09-11 09:36:43,ibcxap.manage.trendmicro.com,"C:\Windows\TEMP\inv68DC_tmp\.\invcol.exe -bdir=""C:\Windows\system32"" ""-outc=C:\ProgramData\Dell\UpdateService\Temp\Inventory.tmp"" ","[""Rom_Check_Aux_Tool.exe""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-800643,NT AUTHORITY\SYSTEM
2023-09-11 09:36:43,ibcxap.manage.trendmicro.com,"""C:\Program Files\Google\Drive File Stream\80.0.1.0\GoogleDriveFS.exe"" --crash_handler_token=\\.\pipe\crashpad_16920_ADPUTOLPVLMDWTJF --parent_version=80.0.1.0 --startup_mode","[""GoogleDriveFS.exe""]",APPLICATION_CONTROL_VIOLATION,"[""Allowed""]",LT-801003,GLOBAL\jason.mcconnell
2023-09-11 09:36:43,ibcxap.manage.trendmicro.com,C:\Windows\system32\svchost.exe -k DcomLaunch -p,"[""GameBar.exe""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-93054,NT AUTHORITY\SYSTEM
2023-09-11 09:36:40,ibcxap.manage.trendmicro.com,"""C:\Program Files (x86)\HP\HP Support Framework\Resources\HPWarrantyCheck\HPWarrantyChecker.exe""","[""System.Xaml.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-39515,GLOBAL\Martin.Oliver
2023-09-11 09:36:40,ibcxap.manage.trendmicro.com,"""C:\Program Files (x86)\HP\HP Support Framework\Resources\HPWarrantyCheck\HPWarrantyChecker.exe""","[""System.Configuration.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-39515,GLOBAL\Martin.Oliver
2023-09-11 09:36:40,ibcxap.manage.trendmicro.com,"""C:\Program Files (x86)\HP\HP Support Framework\Resources\HPWarrantyCheck\HPWarrantyChecker.exe""","[""System.Xml.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-39515,GLOBAL\Martin.Oliver
2023-09-11 09:36:40,ibcxap.manage.trendmicro.com, --pid=20060,"[""Microsoft.PowerShell.Commands.Diagnostics.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-800321,GLOBAL\simon.hudson
2023-09-11 09:36:39,ibcxap.manage.trendmicro.com,"""C:\Program Files (x86)\HP\HP Support Framework\Resources\HPWarrantyCheck\HPWarrantyChecker.exe""","[""WindowsBase.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-39515,GLOBAL\Martin.Oliver
2023-09-11 09:36:39,ibcxap.manage.trendmicro.com, --pid=20060,"[""System.Management.Automation.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-800321,GLOBAL\simon.hudson
2023-09-11 09:36:39,ibcxap.manage.trendmicro.com,"""C:\Program Files (x86)\HP\HP Support Framework\Resources\HPWarrantyCheck\HPWarrantyChecker.exe""","[""PresentationCore.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-39515,GLOBAL\Martin.Oliver
2023-09-11 09:36:39,ibcxap.manage.trendmicro.com,"""C:\Program Files (x86)\HP\HP Support Framework\Resources\HPWarrantyCheck\HPWarrantyChecker.exe""","[""System.Core.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-39515,GLOBAL\Martin.Oliver
2023-09-11 09:36:39,ibcxap.manage.trendmicro.com,"""C:\Program Files (x86)\HP\HP Support Framework\Resources\HPWarrantyCheck\HPWarrantyChecker.exe""","[""PresentationFramework.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-39515,GLOBAL\Martin.Oliver
2023-09-11 09:36:39,ibcxap.manage.trendmicro.com, --pid=20060,"[""System.Core.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-800321,GLOBAL\simon.hudson
2023-09-11 09:36:39,ibcxap.manage.trendmicro.com, --pid=20060,"[""System.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-800321,GLOBAL\simon.hudson
2023-09-11 09:36:39,ibcxap.manage.trendmicro.com,"""C:\Program Files (x86)\HP\HP Support Framework\Resources\HPWarrantyCheck\HPWarrantyChecker.exe""","[""System.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-39515,GLOBAL\Martin.Oliver
2023-09-11 09:36:36,ibcxap.manage.trendmicro.com,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","[""System.Management.Automation.ni.dll""]",APPLICATION_CONTROL_VIOLATION,"[""Assessment (Allow)""]",LT-90535,NT AUTHORITY\SYSTEM
