Logged,eventSubClass,pAttackPhase,tags,dhost,app,remarks,dpt,shost,hostName,tacticId
13/09/2023 08:08,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.5.141.10,SSH,"[""IP address: 10.5.141.10""]",5917,10.5.141.11,,"[""TA0008""]"
13/09/2023 08:07,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.5.141.11,SSH,"[""IP address: 10.5.141.11""]",25319,10.5.141.10,,"[""TA0008""]"
13/09/2023 08:06,,,"[""MITRE.T1071"",""XSAE.F2061"",""MITRE.T1071.003""]",172.30.24.244,HTTP,"[""URL: http://ncstest.northgateps.com:8000/api/editor/document?editorSessionID=87204fa2c2d54e1681d6f39f2eccd833000091694591991223gEV0mnGpfsdEhfsQAaVetnWBCKBnrIqjfNQUIH16KZOncNQtmy""]",8001,172.30.24.253,ncstest.northgateps.com,
13/09/2023 08:06,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.5.141.10,SSH,"[""IP address: 10.5.141.10""]",32013,10.5.141.11,,"[""TA0008""]"
13/09/2023 08:05,,,"[""MITRE.T1071"",""XSAE.F2061"",""MITRE.T1071.003""]",172.30.24.244,HTTP,"[""URL: http://ncstest.northgateps.com:8000/api/editor/document?editorSessionID=87204fa2c2d54e1681d6f39f2eccd833000091694591991223gEV0mnGpfsdEhfsQAaVetnWBCKBnrIqjfNQUIH16KZOncNQtmy""]",8001,172.30.24.253,ncstest.northgateps.com,
13/09/2023 08:05,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.5.141.11,SSH,"[""IP address: 10.5.141.11""]",59585,10.5.141.10,,"[""TA0008""]"
13/09/2023 08:05,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.5.141.10,SSH,"[""IP address: 10.5.141.10"", ""Port: 6973""]",6973,10.5.141.11,,"[""TA0011""]"
13/09/2023 08:04,,,"[""MITRE.T1071"",""XSAE.F2061"",""MITRE.T1071.003""]",152.114.96.151,HTTP,"[""URL: http://152.114.96.151:11007/RPC2""]",11007,152.114.96.150,152.114.96.151,
13/09/2023 08:04,,,"[""MITRE.T1071"",""XSAE.F2061"",""MITRE.T1071.003""]",152.114.96.151,HTTP,"[""URL: http://152.114.96.151:11007/RPC2""]",11007,152.114.96.150,152.114.96.151,
13/09/2023 08:04,Internal Network,Lateral Movement,,172.30.82.52,TCP,"[""Source Mobile OS: Linux x86_64"", ""Accessed IP address: 172.30.82.52""]",83,172.30.81.72,,"[""TA0011""]"
13/09/2023 08:04,Internal Network,Lateral Movement,,172.30.82.52,TCP,"[""Source Mobile OS: Linux x86_64"", ""Accessed IP address: 172.30.82.52""]",83,172.30.81.72,penaltynotice.homeoffice.gov.uk,"[""TA0011""]"
13/09/2023 08:04,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.29.100.99,TLS,"[""IP address: 172.29.100.99"", ""Port: 5275""]",5275,172.29.100.158,,"[""TA0011""]"
13/09/2023 08:04,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.5.141.11,SSH,"[""IP address: 10.5.141.11"", ""Port: 6973""]",6973,10.5.141.10,,"[""TA0011""]"
13/09/2023 08:04,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.5.141.10,SSH,"[""IP address: 10.5.141.10""]",7599,10.5.141.11,,"[""TA0008""]"
13/09/2023 08:03,Internal Network,Lateral Movement,,172.30.82.52,TCP,"[""Source Mobile OS: Linux x86_64"", ""Accessed IP address: 172.30.82.52""]",83,172.30.81.72,penaltynotice.homeoffice.gov.uk,"[""TA0011""]"
13/09/2023 08:03,Internal Network,Lateral Movement,,172.30.82.53,TCP,"[""Source Mobile OS: Windows 7 64bit"", ""Accessed IP address: 172.30.82.53""]",83,172.30.81.72,,"[""TA0011""]"
13/09/2023 08:03,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.5.141.11,SSH,"[""IP address: 10.5.141.11""]",10457,10.5.141.10,,"[""TA0008""]"
13/09/2023 08:03,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.5.141.10,SSH,"[""IP address: 10.5.141.10"", ""Port: 6973""]",6973,10.5.141.11,,"[""TA0011""]"
13/09/2023 08:02,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.29.100.99,TLS,"[""IP address: 172.29.100.99"", ""Port: 5275""]",5275,172.29.100.158,,"[""TA0011""]"
13/09/2023 08:02,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.5.141.10,SSH,"[""IP address: 10.5.141.10""]",60565,10.5.141.11,,"[""TA0008""]"
13/09/2023 08:02,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.5.141.11,SSH,"[""IP address: 10.5.141.11"", ""Port: 6973""]",6973,10.5.141.10,,"[""TA0011""]"
13/09/2023 08:01,DNS,,,192.168.141.50,DNS Response,"[""IP address: 192.168.141.50"", ""Domain: cdn.fwupd.org""]",38841,172.20.54.147,cdn.fwupd.org,"[""TA0011""]"
13/09/2023 08:01,DNS,,,192.168.141.50,DNS Response,"[""IP address: 192.168.141.50"", ""Domain: cdn.fwupd.org""]",45803,172.20.54.148,cdn.fwupd.org,"[""TA0011""]"
13/09/2023 08:01,DNS,,,192.168.141.50,DNS Response,"[""IP address: 192.168.141.50"", ""Domain: cdn.fwupd.org""]",48067,172.20.54.148,cdn.fwupd.org,"[""TA0011""]"
13/09/2023 08:01,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.29.100.99,TLS,"[""IP address: 172.29.100.99"", ""Port: 5275""]",5275,172.29.100.158,,"[""TA0011""]"
13/09/2023 08:01,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.5.141.11,SSH,"[""IP address: 10.5.141.11""]",30225,10.5.141.10,,"[""TA0008""]"
13/09/2023 08:01,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.5.141.10,SSH,"[""IP address: 10.5.141.10"", ""Port: 6973""]",6973,10.5.141.11,,"[""TA0011""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.24.244,HTTP,"[""IP address: 172.30.24.244"", ""Port: 8001""]",8001,172.30.24.253,ncstest.northgateps.com,"[""TA0011""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.24.244,HTTP,"[""IP address: 172.30.24.244"", ""Port: 8001""]",8001,172.30.24.254,ncstest.northgateps.com,"[""TA0011""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.24.244,HTTP,"[""IP address: 172.30.24.244"", ""Port: 8001""]",8001,172.30.24.253,ncstest.northgateps.com,"[""TA0011""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.24.244,HTTP,"[""IP address: 172.30.24.244"", ""Port: 8001""]",8001,172.30.24.254,ncstest.northgateps.com,"[""TA0011""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.24.244,HTTP,"[""IP address: 172.30.24.244"", ""Port: 8001""]",8001,172.30.24.254,ncstest.northgateps.com,"[""TA0011""]"
13/09/2023 08:00,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.102.104.48,SSH,"[""IP address: 10.102.104.48""]",43508,10.102.104.53,,"[""TA0008""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.24.244,HTTP,"[""IP address: 172.30.24.244"", ""Port: 8001""]",8001,172.30.24.253,ncstest.northgateps.com,"[""TA0011""]"
13/09/2023 08:00,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.102.104.48,SSH,"[""IP address: 10.102.104.48""]",43500,10.102.104.53,,"[""TA0008""]"
13/09/2023 08:00,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.102.104.53,SSH,"[""IP address: 10.102.104.53""]",49374,10.102.104.48,,"[""TA0008""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.14.37,HTTP,"[""IP address: 172.30.14.37"", ""Port: 81""]",81,172.30.14.5,,"[""TA0011""]"
13/09/2023 08:00,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.102.104.48,SSH,"[""IP address: 10.102.104.48""]",43494,10.102.104.53,,"[""TA0008""]"
13/09/2023 08:00,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.102.104.48,SSH,"[""IP address: 10.102.104.48""]",43480,10.102.104.53,,"[""TA0008""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.14.21,HTTP,"[""IP address: 172.30.14.21"", ""Port: 81""]",81,172.30.14.5,,"[""TA0011""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.48,HTTP,"[""IP address: 10.102.104.48"", ""Port: 2380""]",2380,10.102.104.47,etcd2,"[""TA0011""]"
13/09/2023 08:00,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.102.104.48,SSH,"[""IP address: 10.102.104.48""]",43472,10.102.104.53,,"[""TA0008""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.14.38,HTTP,"[""IP address: 172.30.14.38"", ""Port: 8091""]",8091,172.30.14.37,couchbase,"[""TA0011""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.47,HTTP,"[""IP address: 10.102.104.47"", ""Port: 2380""]",2380,10.102.104.48,etcd1,"[""TA0011""]"
13/09/2023 08:00,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.102.104.48,SSH,"[""IP address: 10.102.104.48""]",43462,10.102.104.53,,"[""TA0008""]"
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.14.38,HTTP,"[""IP address: 172.30.14.38"", ""Port: 8091""]",8091,172.30.14.37,couchbase,"[""TA0011""]"
13/09/2023 08:00,,,"[""MITRE.T1071"",""XSAE.F2061"",""MITRE.T1071.003""]",10.102.104.47,HTTP,"[""URL: http://http/etcdserverpb.Maintenance/Defragment""]",2379,10.102.104.48,http,
13/09/2023 08:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.14.37,HTTP,"[""IP address: 172.30.14.37"", ""Port: 81""]",81,172.30.14.5,,"[""TA0011""]"
