"objectUser","parentFilePath","processFilePath","objectFilePath","fill","stroke","shape","label","image","signed"
"ratakonda.dheeraja","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp","","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-I22M4.tmp\file_NAIrY-1.exe","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp","","","C:\Windows\SysWOW64\PGPlsp.dll","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","C:\Windows\System32\svchost.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Windows\System32\svchost.exe","","C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""INNOVA MEDIA d.o.o.""]"
"C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe","","","C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""INNOVA MEDIA d.o.o.""]"
"ratakonda.dheeraja","C:\Windows\System32\services.exe","","","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows Publisher""]"
