Logged,parentName,parentFilePath,parentCmd,objectUser,osDescription,processName,processFilePath,processCmd,objectFilePath,processSigner
01/10/2023 00:43,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:43,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:43,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:43,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:43,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:43,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:43,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:43,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:43,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:43,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
01/10/2023 00:42,,,,GLOBAL\gwenaelle.waters,,,,FOUND! ,,
01/10/2023 00:42,,,,GLOBAL\gwenaelle.waters,,,,FOUND! ,,
01/10/2023 00:42,,,,GLOBAL\gwenaelle.waters,,,,FOUND! ,,
01/10/2023 00:42,,,,GLOBAL\gwenaelle.waters,,,,FOUND! ,,
