Logged,parentName,parentFilePath,parentCmd,objectUser,osDescription,processName,processFilePath,ProcessCmd,objectFilePath,processSigner
30/09/2023 20:31,,,,NT AUTHORITY\SYSTEM,,,,Vento.ps1,,
30/09/2023 20:31,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:31,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:31,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:31,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:31,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:31,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:31,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:31,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:31,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:31,,,,GLOBAL\alexa.johnson,,,,Summer,,
30/09/2023 20:31,,,,GLOBAL\alexa.johnson,,,,Summer,,
30/09/2023 20:31,,,,GLOBAL\alexa.johnson,,,,Summer,,
30/09/2023 20:31,,,,GLOBAL\alexa.johnson,,,,Summer,,
30/09/2023 20:31,,,,GLOBAL\alexa.johnson,,,,Summer,,
30/09/2023 20:31,,,,GLOBAL\alexa.johnson,,,,Summer,,
30/09/2023 20:29,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:29,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:29,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:29,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:29,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:29,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:29,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:29,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:29,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:29,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:27,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:27,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:27,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:27,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:27,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:27,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:27,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:27,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:27,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
30/09/2023 20:27,,,,NT AUTHORITY\SYSTEM,,,,Vento,,
