"objectUser","parentFilePath","processFilePath","objectFilePath","processCmd","fill","stroke","shape","label","image","signed"
"NT AUTHORITY\SYSTEM","","","","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\gwenaelle.waters","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"GLOBAL\angelica.miroslav","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png",""
"","","","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png",""
"","","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/module/512/nfc-chip-chipset-pay-service-mobile-512.png",""
"SDAutomation","C:\Windows\System32\cmd.exe","","","powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\cmd.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\13b9da67ab0fb9344d65ceff1595d911\System.Management.Automation.ni.dll","powershell.exe  -ExecutionPolicy Bypass -File ""C:\Scripts\Python\CaaS\SnapshotCreationTracker.ps1""","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"bharat.shinde","C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Program Files (x86)\Microsoft Intune Management Extension\Content\DetectionScripts\83a36c32-398a-4819-ab7b-bc0cfa3f47c5_4.ps1"" ","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
"C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","#ffe6ff","#d9d9d9","ellipse","%objectUser%","https://cdn2.iconfinder.com/data/icons/data-organization-and-management-7/64/vector_525_04-512.png","[""Microsoft Windows""]"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","","","C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\1abd8de7b1afcc673a7a8c3d15a86324\System.Management.Automation.ni.dll","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Program Files (x86)\Microsoft Intune Management Extension\Content\DetectionScripts\83a36c32-398a-4819-ab7b-bc0cfa3f47c5_4.ps1"" ","#dae8fc","#6c8ebf","ellipse","%objectUser%<br>Signed:<i style=color:blue;>%signed%</i>","https://cdn-icons-png.flaticon.com/128/1949/1949225.png","[""Microsoft Windows""]"
"Darren.Walker","C:\Windows\System32\svchost.exe","","","""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1","#ccffe6","#009900","ellipse","%objectUser%","https://cdn4.iconfinder.com/data/icons/mexican-curious-1/400/emojiDF_angry_comp-512.png","[""Microsoft Windows""]"
