Logged,parentName,parentFilePath,parentCmd,objectUser,osDescription,processName,processFilePath,processCmd,objectFilePath,processSigner
2023-09-04 11:03:25,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,"""C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",ratakonda.dheeraja,Windows 10 Enterprise (64 bit) build 19045,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,"""C:\Users\RATAKO~1.DHE\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp"" /SL5=""$120BE6,831488,831488,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-I22M4.tmp\file_NAIrY-1.exe,"[""INNOVA MEDIA d.o.o.""]"
2023-09-04 11:03:25,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,"""C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",,Windows 10 Enterprise (64 bit) build 19045,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,"""C:\Users\RATAKO~1.DHE\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp"" /SL5=""$120BE6,831488,831488,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-I22M4.tmp\file_NAIrY-1.exe,"[""INNOVA MEDIA d.o.o.""]"
2023-09-04 11:03:25,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,"""C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",,Windows 10 Enterprise (64 bit) build 19045,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,"""C:\Users\RATAKO~1.DHE\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp"" /SL5=""$120BE6,831488,831488,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-I22M4.tmp\is-5U9AR.tmp,"[""INNOVA MEDIA d.o.o.""]"
2023-09-04 11:03:22,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,"""C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",ratakonda.dheeraja,Windows 10 Enterprise (64 bit) build 19045,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,"""C:\Users\RATAKO~1.DHE\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp"" /SL5=""$120BE6,831488,831488,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",C:\Windows\SysWOW64\PGPlsp.dll,"[""INNOVA MEDIA d.o.o.""]"
2023-09-04 11:03:21,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,"""C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",,Windows 10 Enterprise (64 bit) build 19045,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,"""C:\Users\RATAKO~1.DHE\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp"" /SL5=""$120BE6,831488,831488,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-I22M4.tmp\_isetup\_setup64.tmp,"[""INNOVA MEDIA d.o.o.""]"
2023-09-04 11:03:19,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo,ratakonda.dheeraja,Windows 10 Enterprise (64 bit) build 19045,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,"""C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,"[""INNOVA MEDIA d.o.o.""]"
2023-09-04 11:03:19,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo,,Windows 10 Enterprise (64 bit) build 19045,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,"""C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" /SPAWNWND=$130C54 /NOTIFYWND=$40D3C ",C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-66T5D.tmp\safari_NAIrY-1.tmp,"[""INNOVA MEDIA d.o.o.""]"
2023-09-04 11:03:19,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,C:\WINDOWS\system32\services.exe,ratakonda.dheeraja,Windows 10 Enterprise (64 bit) build 19045,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,"[""Microsoft Windows Publisher""]"
2023-09-04 11:03:16,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,"""C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" ",ratakonda.dheeraja,Windows 10 Enterprise (64 bit) build 19045,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-P6TJ0.tmp\safari_NAIrY-1.tmp,C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-P6TJ0.tmp\safari_NAIrY-1.tmp,"""C:\Users\RATAKO~1.DHE\AppData\Local\Temp\is-P6TJ0.tmp\safari_NAIrY-1.tmp"" /SL5=""$40D3C,831488,831488,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" ",C:\Windows\SysWOW64\PGPhk.dll,"[""INNOVA MEDIA d.o.o.""]"
2023-09-04 11:03:15,C:\Windows\explorer.exe,C:\Windows\explorer.exe,C:\WINDOWS\Explorer.EXE,ratakonda.dheeraja,Windows 10 Enterprise (64 bit) build 19045,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe,"""C:\Users\ratakonda.dheeraja\Downloads\safari_NAIrY-1.exe"" ",C:\Users\ratakonda.dheeraja\AppData\Local\Temp\is-P6TJ0.tmp\safari_NAIrY-1.tmp,"[""INNOVA MEDIA d.o.o.""]"
