Logged,parentName,parentFilePath,parentCmd,objectUser,osDescription,processName,processFilePath,processCmd,objectFilePath,processSigner
2023-09-30 20:31:11,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:31:11,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:31:10,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:31:10,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:31:10,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:31:10,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:31:10,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:31:10,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:31:10,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:31:10,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:31:03,,,,GLOBAL\alexa.johnson,,,,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ",,
2023-09-30 20:31:03,,,,GLOBAL\alexa.johnson,,,,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ",,
2023-09-30 20:31:03,,,,GLOBAL\alexa.johnson,,,,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ",,
2023-09-30 20:31:03,,,,GLOBAL\alexa.johnson,,,,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ",,
2023-09-30 20:31:03,,,,GLOBAL\alexa.johnson,,,,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ",,
2023-09-30 20:31:03,,,,GLOBAL\alexa.johnson,,,,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -executionPolicy bypass -file  ""C:\Windows\IMECache\HealthScripts\10c84872-05f7-43be-bbf0-f596ff32edbd_2\detect.ps1"" ",,
2023-09-30 20:29:09,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:29:09,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:29:09,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:29:09,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:29:09,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:29:09,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:29:09,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:29:09,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:29:09,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:29:09,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:27:51,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
2023-09-30 20:27:51,,,,NT AUTHORITY\SYSTEM,,,,"""PowerShell.exe"" -ExecutionPolicy Bypass .\MMDActionEngine.ps1",,
